timestamp,region,score
1772289610.456028,ARGENTINA,20
2026-02-28T20:00:10.137096,ASIA,50
1772289603.0817611,ESPANA,40
1772289620.288142,NORTH_KOREA,48
1772289614.6181023,EUROPA_CORE,20
1772289622.3338284,AUSTRALIA,20
1772289608.5651581,CHINA,20
2026-02-28T21:00:02.114021,EUROPA,58
1772289602.8762777,IRAN_M_ORIENTE,75
1772289609.714167,MEXICO,21
1772289605.6798434,RUSIA_UCRANIA,80
1772289611.6306083,BRASIL,20
1772289613.512186,ASIA_PACIFICO,20
2026-02-28T21:00:04.804804,M_ORIENTE,100
1772310610.8270745,ARGENTINA,20
1772310609.9757788,LATAM,20
1772310612.602469,SAHEL,36
1772310604.2823772,ESPANA,37
1772310620.2779493,NORTH_KOREA,48
1772310613.74402,EUROPA_CORE,20
1772310622.989364,AUSTRALIA,20
1772310609.480914,CHINA,20
1772310604.069967,IRAN_M_ORIENTE,75
1772310610.109342,MEXICO,21
1772310606.7836676,RUSIA_UCRANIA,80
1772310606.9125295,USA,20
1772310611.7673984,BRASIL,20
1772310613.165532,ASIA_PACIFICO,20
1772312414.0202992,ARGENTINA,20
1772312412.5350351,LATAM,20
1772312415.8507938,SAHEL,36
1772312404.7787962,ESPANA,32
1772312424.6087215,NORTH_KOREA,48
1772312418.0416493,EUROPA_CORE,20
1772312427.7004182,AUSTRALIA,20
1772312411.9690404,CHINA,20
1772312404.5352595,IRAN_M_ORIENTE,75
1772312413.188709,MEXICO,20
1772312407.9104826,RUSIA_UCRANIA,80
1772312408.0802066,USA,20
1772312414.9994211,BRASIL,20
1772312416.866431,ASIA_PACIFICO,20
1772314211.8482912,ARGENTINA,20
1772314211.0622346,LATAM,20
1772314214.2415962,SAHEL,36
1772314205.038385,ESPANA,28
1772314229.9196794,NORTH_KOREA,48
1772314216.2332468,EUROPA_CORE,20
1772314232.5011425,AUSTRALIA,20
1772314210.4940593,CHINA,20
1772314204.807137,IRAN_M_ORIENTE,75
1772314211.1763783,MEXICO,20
1772314207.936574,RUSIA_UCRANIA,80
1772314208.0904684,USA,20
1772314213.0823903,BRASIL,20
1772314215.2353528,ASIA_PACIFICO,20
1772316012.3691974,ARGENTINA,20
1772316011.577058,LATAM,20
1772316014.0572472,SAHEL,36
1772316004.7568827,ESPANA,25
1772316022.2918954,NORTH_KOREA,48
1772316015.9387174,EUROPA_CORE,20
1772316025.7995965,AUSTRALIA,20
1772316011.129729,CHINA,20
1772316004.5323956,IRAN_M_ORIENTE,75
1772316011.704143,MEXICO,21
1772316008.046897,RUSIA_UCRANIA,80
1772316008.1732209,USA,29
1772316013.3167083,BRASIL,20
1772316015.0926516,ASIA_PACIFICO,20
1772317815.4482563,ARGENTINA,20
1772317814.4561958,LATAM,20
1772317817.5460796,SAHEL,36
1772317807.2727242,ESPANA,23
1772317825.8059366,NORTH_KOREA,48
1772317819.6089168,EUROPA_CORE,20
1772317829.1799407,AUSTRALIA,20
1772317813.8518312,CHINA,20
1772317807.0666008,IRAN_M_ORIENTE,75
1772317814.7396572,MEXICO,21
1772317810.4309347,RUSIA_UCRANIA,80
1772317810.601366,USA,29
1772317816.6145258,BRASIL,20
1772317818.5413172,ASIA_PACIFICO,20
1772319611.8420458,ARGENTINA,20
1772319611.089724,LATAM,20
1772319613.7309694,SAHEL,36
1772319604.9101708,ESPANA,22
1772319622.1494973,NORTH_KOREA,48
1772319615.6575496,EUROPA_CORE,20
1772319624.9501076,AUSTRALIA,20
1772319610.5696871,CHINA,20
1772319604.6768708,IRAN_M_ORIENTE,75
1772319611.202256,MEXICO,21
1772319607.3257735,RUSIA_UCRANIA,80
1772319607.430721,USA,29
1772319612.8655884,BRASIL,20
1772319614.7405252,ASIA_PACIFICO,20
1772321411.9717546,ARGENTINA,20
1772321411.1584065,LATAM,20
1772321413.9912548,SAHEL,36
1772321404.7426414,ESPANA,21
1772321422.534099,NORTH_KOREA,48
1772321416.0897439,EUROPA_CORE,20
1772321426.1170712,AUSTRALIA,20
1772321410.7184458,CHINA,20
1772321404.555212,IRAN_M_ORIENTE,75
1772321411.2617981,MEXICO,21
1772321407.8913474,RUSIA_UCRANIA,80
1772321408.0252764,USA,29
1772321413.1834521,BRASIL,20
1772321414.9970627,ASIA_PACIFICO,20
1772323212.9379618,ARGENTINA,20
1772323212.0507045,LATAM,20
1772323217.1666555,SAHEL,36
1772323205.5914216,ESPANA,21
1772323225.5283244,NORTH_KOREA,48
1772323219.322933,EUROPA_CORE,20
1772323227.5855694,AUSTRALIA,20
1772323211.5130951,CHINA,20
1772323205.390306,IRAN_M_ORIENTE,75
1772323212.1730945,MEXICO,21
1772323208.5078895,RUSIA_UCRANIA,80
1772323208.670736,USA,29
1772323215.731844,BRASIL,20
1772323218.1534748,ASIA_PACIFICO,20
1772325013.8047822,ARGENTINA,20
1772325012.4230068,LATAM,20
1772325015.7358956,SAHEL,36
1772325005.795612,ESPANA,20
1772325024.7023892,NORTH_KOREA,48
1772325017.7453802,EUROPA_CORE,20
