# =============================================================================
# S.I.E.G. MAPA DE FUENTES V2.0
# Formato: REGION | URL | CF (0.0-1.0) | SESGO
# CF = Coeficiente de Fiabilidad editorial
# Actualizado: 2026-03-01 — URLs verificadas en scan real
# =============================================================================

# ---------------------------------------------------------------------------
# IRAN / MEDIO ORIENTE
# ---------------------------------------------------------------------------
Iran_M_Oriente | https://www.tehrantimes.com/rss                                    | 0.4 | ESTATAL_IR
Iran_M_Oriente | https://www.aljazeera.com/xml/rss/all.xml                          | 0.7 | ARABE_INT
Iran_M_Oriente | https://www.longwarjournal.org/feed                                | 1.0 | OSINT_CONFLCT
Iran_M_Oriente | https://feeds.bbci.co.uk/news/world/middle_east/rss.xml            | 0.9 | NEUTRAL_UK
Iran_M_Oriente | https://rss.nytimes.com/services/xml/rss/nyt/MiddleEast.xml        | 0.9 | LIBERAL_US
Iran_M_Oriente | https://www.middleeasteye.net/rss                                  | 0.7 | REGIONAL_ME

# ---------------------------------------------------------------------------
# ESPANA
# ---------------------------------------------------------------------------
Espana | https://www.elmundo.es/rss/index.xml                                       | 0.8 | LOCAL_C
Espana | https://ep00.epimg.net/rss/elpais/portada.xml                              | 0.8 | LOCAL_P
Espana | https://feeds.bbci.co.uk/mundo/rss.xml                                    | 0.9 | NEUTRAL_UK

# ---------------------------------------------------------------------------
# RUSIA / UCRANIA
# ---------------------------------------------------------------------------
Rusia_Ucrania | https://tass.com/rss/v2.xml                                         | 0.3 | ESTATAL_RU
Rusia_Ucrania | https://kyivindependent.com/feed/rss/                                   | 0.7 | PRO_UA
Rusia_Ucrania | https://feeds.bbci.co.uk/news/world/europe/rss.xml                  | 0.9 | NEUTRAL_UK
Rusia_Ucrania | https://www.aljazeera.com/xml/rss/all.xml                           | 0.7 | ARABE_INT
Rusia_Ucrania | https://rss.nytimes.com/services/xml/rss/nyt/Europe.xml             | 0.9 | LIBERAL_US

# ---------------------------------------------------------------------------
# USA
# ---------------------------------------------------------------------------
USA | https://rss.nytimes.com/services/xml/rss/nyt/World.xml                        | 0.9 | LIBERAL_US
USA | https://feeds.bbci.co.uk/news/world/us_and_canada/rss.xml                    | 0.9 | NEUTRAL_UK
USA | https://www.aljazeera.com/xml/rss/all.xml                                     | 0.7 | ARABE_INT

# ---------------------------------------------------------------------------
# CHINA
# ---------------------------------------------------------------------------
China | https://feeds.bbci.co.uk/news/world/asia/rss.xml                            | 0.9 | NEUTRAL_UK
China | https://rss.nytimes.com/services/xml/rss/nyt/AsiaPacific.xml               | 0.9 | LIBERAL_US
China | https://www.scmp.com/rss/91/feed                                            | 0.6 | HK_SENSITIVE

# ---------------------------------------------------------------------------
# LATAM
# ---------------------------------------------------------------------------
Latam | https://insightcrime.org/feed/                                              | 1.0 | OSINT_CRIME
Latam | https://feeds.bbci.co.uk/mundo/rss.xml                                     | 0.9 | NEUTRAL_UK
Latam | https://rss.nytimes.com/services/xml/rss/nyt/Americas.xml                  | 0.9 | LIBERAL_US

# ---------------------------------------------------------------------------
# MEXICO
# ---------------------------------------------------------------------------
Mexico | https://insightcrime.org/feed/                                             | 1.0 | OSINT_CRIME
Mexico | https://feeds.bbci.co.uk/mundo/rss.xml                                    | 0.9 | NEUTRAL_UK

# ---------------------------------------------------------------------------
# ARGENTINA
# ---------------------------------------------------------------------------
Argentina | https://www.clarin.com/rss/mundo/                                      | 0.7 | LOCAL_AR
Argentina | https://feeds.bbci.co.uk/mundo/rss.xml                                 | 0.9 | NEUTRAL_UK

# ---------------------------------------------------------------------------
# BRASIL
# ---------------------------------------------------------------------------
Brasil | https://feeds.bbci.co.uk/portuguese/rss.xml                               | 0.9 | NEUTRAL_UK
Brasil | https://rss.nytimes.com/services/xml/rss/nyt/Americas.xml                 | 0.9 | LIBERAL_US

# ---------------------------------------------------------------------------
# SAHEL / AFRICA
# ---------------------------------------------------------------------------
Sahel | https://www.france24.com/en/africa/rss                                     | 0.7 | COLONIAL_B
Sahel | https://news.un.org/feed/view/en/region/africa/rss.xml           | 0.9 | INT_ONU
Sahel | https://www.crisisgroup.org/rss.xml                                        | 1.0 | ANALISIS_OSINT
Sahel | https://feeds.bbci.co.uk/news/world/africa/rss.xml                         | 0.9 | NEUTRAL_UK

# ---------------------------------------------------------------------------
# ASIA PACIFICO
# ---------------------------------------------------------------------------
Asia_Pacifico | https://www.japantimes.co.jp/feed/                                  | 0.8 | REGIONAL_JP
Asia_Pacifico | https://feeds.bbci.co.uk/news/world/asia/rss.xml                   | 0.9 | NEUTRAL_UK
Asia_Pacifico | https://rss.nytimes.com/services/xml/rss/nyt/AsiaPacific.xml       | 0.9 | LIBERAL_US

# ---------------------------------------------------------------------------
# EUROPA CORE
# ---------------------------------------------------------------------------
Europa_Core | https://www.euractiv.com/feed/                                        | 0.8 | POLITICO_EU
Europa_Core | https://www.defensenews.com/arc/outboundfeeds/rss/category/europe/   | 0.9 | MIL_DEFENSE
Europa_Core | https://feeds.bbci.co.uk/news/world/europe/rss.xml                   | 0.9 | NEUTRAL_UK

# ---------------------------------------------------------------------------
# COREA DEL NORTE
# ---------------------------------------------------------------------------
North_Korea | https://www.nknews.org/feed/                                          | 1.0 | OSINT_NK
North_Korea | https://feeds.bbci.co.uk/news/world/asia/rss.xml                     | 0.9 | NEUTRAL_UK
North_Korea | https://rss.nytimes.com/services/xml/rss/nyt/AsiaPacific.xml         | 0.9 | LIBERAL_US

# ---------------------------------------------------------------------------
# AUSTRALIA / AUKUS
# ---------------------------------------------------------------------------
Australia | https://www.aspistrategist.org.au/feed/                                 | 1.0 | ASPI_THINK_TANK
Australia | https://abc.net.au/news/feed/52448/rss.xml                             | 0.8 | REGIONAL_AU
Australia | https://feeds.bbci.co.uk/news/world/asia/rss.xml                       | 0.9 | NEUTRAL_UK
